Irrigation Pumping File for SWAT-MODFLOW
40
Sub	Row	Column	Lay	HRU_ID
45	78	94	1	1193
45	78	94	1	1196
45	78	94	1	1198
45	78	94	1	1199
45	78	94	1	1212
45	78	94	1	1210
45	78	94	1	1211
100	82	85	1	2750
195	90	91	1	5136
195	90	91	1	5137
195	90	91	1	5139
195	90	91	1	5141
195	90	91	1	5157
195	90	91	1	5159
195	90	91	1	5166
142	90	100	1	3947
142	90	100	1	3949
142	90	100	1	3967
195	93	91	1	5137
195	93	91	1	5148
195	93	91	1	5167
195	93	91	1	5162
195	93	91	1	5166
14	94	105	1	362
14	94	105	1	367
14	94	105	1	370
14	94	105	1	372
14	94	105	1	391
14	94	105	1	388
195	96	91	1	5136
195	96	91	1	5137
195	96	91	1	5140
195	96	91	1	5167
195	96	91	1	5161
195	96	91	1	5162
195	96	91	1	5165
14	96	102	1	359
14	96	102	1	362
14	96	102	1	364
14	96	102	1	366


